,Companion Map: bit.ly/sfstairmap,,,Contact: info@urbanhikersf.com,,,
,Forest Hill,2,Dorantes & San Marcos.,,https://photos.app.goo.gl/VuD4cnzzJQRGuBr18,,
,Forest Hill,2,"Forest Hill MUNI Metro Station, to Magellan.",,https://photos.app.goo.gl/ezktPpd7ACM33YDw6,,
,Forest Hill,2,"Forest Hill MUNI Metro Station, up to front entrance.",,https://photos.app.goo.gl/BYxJZ28giww7ykoTA,,
,Forest Hill,2,Magellan/Dorantes & Montalvo. Multiple small stairways on the block.,,https://photos.app.goo.gl/isJuQKsf53hYkLraA,,
,Forest Hill,2,Murphy Playground near 9th Ave. entrance.,,https://photos.app.goo.gl/omiAVmoVtg2J5kc79,,
,Forest Hill,2,Pacheco & 9th Ave. Next to Forest Hill Lamp Post. Two Steps.,,https://photos.app.goo.gl/hS4SXHVtyTEQXjTKA,,
,Forest Hill,2,Pacheco & Magellan,,https://photos.app.goo.gl/rDS1T3dzNLJdXtMh7,,
,Forest Hill,2,Pacheco-Upper Pacheco at No. 364 to Lower Pacheco.,,https://photos.app.goo.gl/tbdqsPsjTyqVmSJX6,,
,Forest Knolls,5,Oakhurst Lane/Warren & Crestmont.,,https://photos.app.goo.gl/grVuMFcXeq5Zm7Hg9,,
,Forest Knolls,4,Ashwood Lane/Clarendon & Warren at No. 101.,,https://photos.app.goo.gl/vDNUVLQqprsqBFRVA,,
,Forest Knolls,4,Blairwood Lane/No. 113 Warren & No. 95 & No. 101 Crestmont.,,https://photos.app.goo.gl/pHjGKPc1maX4mD1x9,,
,Forest Knolls,4,Glenhaven Lane/Oak Park & No. 191 Christopher.,,https://photos.app.goo.gl/Rx3SpSnY3Myn1ETe9,,
,Forest Knolls,2,"Clarendon Trail, just off Clarendon Avenue. Few steps.",,ttps://photos.app.goo.gl/C41SCp3BfFWknXSq9,,
,Forest Knolls,2,"Forest Knolls Stairway at No. 191 Forest Knolls Drive, in cul-de-sac, down to school playground.",,https://photos.app.goo.gl/1WpKypZaEHsvKU367,,
,Fort Funston,4,"Horsetail Stairway, left of parking lot.",,https://photos.app.goo.gl/RjXDQJ3d8LU9T8Mn7,,
,Fort Funston,2,"John Muir Drive at Skyline, on path to Fort Funston.",,https://photos.app.goo.gl/9HNyEgCS5ZQRSNbD9,,
,Fort Mason,4,Aquatic Park Bleachers. In park between Larkin & Polk.,,https://photos.app.goo.gl/rcNaWJst32F3Eaiy6,,
,Fort Mason,3,Aquatic Park west bleachers. Just west of Maritime Museum.,,https://photos.app.goo.gl/m3vfemMUWqfUjwEH6,,
,Fort Mason,3,Aquatic Park. West of Maritime Museum area bleachers.,,https://photos.app.goo.gl/bz66oQfWMweEjY298,,
,Fort Mason,3,Fort Mason. Black Point Battery to top of wall.,,https://photos.app.goo.gl/mS3o9q831r9n8enXA,,
,Fort Mason,3,Fort Mason. Black Point Gunnery behind San Francisco International Youth Hostel.,,https://photos.app.goo.gl/WhdQ5wDXBbRUntYC7,,
,Fort Mason,3,Fort Mason. Downhill from Black Point Battery.,,https://photos.app.goo.gl/5dLVMzgnbzgs5jFH9,,
,Fort Mason,3,Fort Mason. End of Franklin to Black Point Battery & picnic area. Number of short stairways.,,https://photos.app.goo.gl/iZrNaNAzKuS9sVpCA,,
,Fort Mason,3,Fort Mason. Great Meadow & Building E at Pier 3.,,https://photos.app.goo.gl/iLfumCCKVKHwSYsz7,,
,Fort Mason,3,Fort Mason. Great Meadow & San Francisco International Youth Center near Bufano Peace sculpture.,,https://photos.app.goo.gl/oyVKNtoyx2jBseC28,,
,Fort Mason,2,Aquatic Park Promenade & Upper Railroad-Tie Walkway/Hyde & Van Ness.,,https://photos.app.goo.gl/rL2VWdnaxTZksMnL6,,
,Fort Mason,2,"Beach/Hyde & Larkin, into Maritime Park",,https://photos.app.goo.gl/r4xPTAcLdaBtMtD79,,
,Fort Mason,2,"Hyde/Jefferson & Beach, into Maritime Park.",,https://photos.app.goo.gl/jWfwwSrvx1FotVXe6,,
,Fort Mason,2,Maritime Museum Parking to lookout above bleachers.,,https://photos.app.goo.gl/X9UdrF7GrCSGckQZ8,,
,Fort Mason,1,Fort Mason. Franklin Street up to MacArthur Ave.,5,https://photos.app.goo.gl/6ZCwHZq2peyTRQfz5,,
,Fort Winfield Scott,5,Batteries to Bluffs/Langdon & Marshall Beach & Baker Beach. ,,https://photos.app.goo.gl/tLQJUH6wE2gAafS36,,
,Fort Winfield Scott,5,Wool Court & Upton intersection and down to tennis courts.,,https://photos.app.goo.gl/hQV3m11HQiRZFxbNA,,
,Fort Winfield Scott,4,End of Dragonfly Creek,,https://photos.app.goo.gl/Di8D76h4ms5msEo56,,
,Fort Winfield Scott,4,"Kobbe, opposite No. 1324 to tennis practice area.",,https://photos.app.goo.gl/dKuY8VJDznnRnxC47,,
,Fort Winfield Scott,4,"Kobbe, opposite No. 1328 to tennis courts.",,https://photos.app.goo.gl/YLPzazf26Hht9MVY9,,
,Fort Winfield Scott,4,"Kobbe, opposite No. 1330, at parking area to recreation hall.",,https://photos.app.goo.gl/ki79vTkjLqqg5PtA6,,
,Fort Winfield Scott,4,"Wool Court & Upton, opposite No. 1337 Pope sign to tennis courts parking lot.",,https://photos.app.goo.gl/joyaLKWnibVZMygE8,,
,Fort Winfield Scott,3,Fort Scott Community Garden,,https://photos.app.goo.gl/2mi7EYGkxnvzaZW9A,,
,Fort Winfield Scott,3,"Native Plant Garden, to upper nursery.",,https://photos.app.goo.gl/cGFwrycVMk7h3Xsn7,,
,Fort Winfield Scott,2,Rod Road. Few stairways along the block.,,https://photos.app.goo.gl/Gq9DPnnZhAqaUJ8a6,,
,Fort Winfield Scott,2,Ruckman/Appleton & Ralston. Two stairways by baseball field.,,https://photos.app.goo.gl/VfFx3JRMzFq3kBMw5,,
,Fort Winfield Scott,2,Tennis courts: Multiple stairways into and around.,,,,
,Fort Winfield Scott,1,Native Plant Garden. Few steps off Appleton St. Photo by Brett Lider.,,https://photos.app.goo.gl/7C4B6MNkZFSM1M6g7,,
,Glen Park,5,Glen Canyon Park. Christopher Playground Entrance.,,https://photos.app.goo.gl/eCqp9uT9GkA4rTD87,,
,Glen Park,5,Glen Canyon Park. Glen Canyon Boulders.,,https://photos.app.goo.gl/z2hAGXDr79is3AfD8,,
,Glen Park,5,Glen Canyon Park. Trail between Gum Tree Girls and Coyote Crags Trails. Number of stair sections.,,https://photos.app.goo.gl/C2ECYu7iXLQnfz2B7,,
,Glen Park,5,Harry Stairway at No. 190 Beacon to Laidley.,,https://photos.app.goo.gl/WmoXLaRXm1NFzKfV8,,
,Glen Park,4,Glen Canyon Park. Crags Court Entrance.,,https://photos.app.goo.gl/9Y5rWGHLxGjHHBxE8,,
,Glen Park,3,"Amatista Lane/Bemis, near Miguel to Everson.",,https://photos.app.goo.gl/eErEAUax163gLvVc9,,
,Glen Park,3,Beacon Trail between Walter Haas Playground and Billy Goat Hill.,,https://photos.app.goo.gl/sMN9b3Sed5RQhMPx8,,
,Glen Park,3,Billy Goat Hill.,,https://photos.app.goo.gl/s2xmv3HdqFckixvf8,,
,Glen Park,3,Glen Canyon Park. Alongside tennis courts.,,https://photos.app.goo.gl/k5WwqVwDZPCUCDK38,,
,Glen Park,3,Glen Canyon Park. Coyote Crags Trail.,,https://photos.app.goo.gl/yiG4gRZ5um8LW7qq8,,
,Glen Park,3,"Glen Canyon Park. Elk at Sussex, into park.",,https://photos.app.goo.gl/j1UeVrwSkMBnAXTj6,,
,Glen Park,3,"Glen Canyon Park. From Portola and around Ruth Asawa School, into the canyon.",,https://photos.app.goo.gl/ijcXFGM3Yauf8PeF6,,
,Glen Park,3,Glen Canyon Park. Up to tennis courts.,,https://photos.app.goo.gl/CTQzVK88H8JaYdxU8,,
,Glen Park,3,Hamerton/Bosworth & Mangels.,,https://photos.app.goo.gl/vEj1qtVLm3tPbPoD9,,
,Glen Park,2,"Bemis, Nos. 130 & 134 at Mateo.",,https://photos.app.goo.gl/qGpQnWpjy1e6KEQT6,,
,Glen Park,2,"Burnside at Bosworth, across from No. 1035 Bosworth.",,https://photos.app.goo.gl/pyh3SJGbhBD51Mrw8,,
,Glen Park,2,"Chilton at Bosworth, across from No. 907 Bosworth.",,https://photos.app.goo.gl/8qNMDEJcx5x1vNq88,,
,Glen Park,2,Diamond & Moffit. Curvy small sidewalk stairway.,,https://photos.app.goo.gl/frpDPXMwmozjPvhP6,,
,Glen Park,2,"Diamond Heights Blvd. & No. 5411, into Walter Haas Park.",,https://photos.app.goo.gl/iojnzMKzbVU5qJWe8,,
,Glen Park,2,"Glen Canyon Park. Bosworth across from no. 1231, into park.",,https://photos.app.goo.gl/jqFMUPWQVqYxYozT6,,
,Glen Park,2,Glen Canyon Park. Toward north of park after a boardwalk section.,,https://photos.app.goo.gl/EH1EQq2GC2tPrqRj6,,
,Glen Park,2,"Glen Park Village Garden. Diamond at No. 2783, into garden.",,https://photos.app.goo.gl/VBiCphw5Di19byvA6,,
,Glen Park,2,Penny Lane to Surrey/Diamond & Castro. Penny Lane is a dirt road!,,https://photos.app.goo.gl/mt54iMZ8gXTxGo1RA,,
,Glen Park,2,St. Mary's/San Jose & Arlington at No. 439.,,https://photos.app.goo.gl/bxuRWjjcHsDQMKc98,,
,Glen Park,1,Chenery at Carrie. One side of a right-of-way that leads you to Glen Park Village Garden.,,https://photos.app.goo.gl/ohv4TKttus7t4Xt67,,
,Glen Park,1,Glen Canyon Park. At west side of recreation center.,,https://photos.app.goo.gl/GPFXJwo2FisgcKUt5,,
,Glen Park,1,Glen Canyon Park. Up to recreation center restrooms.,,https://photos.app.goo.gl/8sziS64WVRX3ixhH6,,
,Glen Park,1,Miguel/Laidley & Whitney. Two sets of two steps.,,https://photos.app.goo.gl/g3ZoyApbs3SU3iWTA,,
,Glen Park,1,Roanoke/San Jose & Arlington.,,https://photos.app.goo.gl/LskSQjRqvtDmQwbC7,,
,Golden Gate Heights,5,16th Ave./Kirkham & Lawton. The Hidden Garden Mosaic Steps.,,https://photos.app.goo.gl/JGfukM9d32U1Rphr9,,
,Golden Gate Heights,5,"Cascade Walk/Ortega, Pacheco, & Funston.",,https://photos.app.goo.gl/hMccgSZebskBDLqEA,,
,Golden Gate Heights,5,Moraga/15th & 16th Aves. 16th Avenue Tiled Steps. (Mosaic!),,https://photos.app.goo.gl/qEteTKrLVbwaSh7m9,,
,Golden Gate Heights,5,Moraga/Funston & 14th Ave.,,https://photos.app.goo.gl/SSMNv65CJgQLCFsq7,,
,Golden Gate Heights,5,Selma Way/No. 477 Noriega & No. 564 Ortega.,,https://photos.app.goo.gl/gXSUYuzoTcZdvAaw9,,
,Golden Gate Heights,4,15th Ave./Kirkham & Lawton.,,https://photos.app.goo.gl/8k9Zb2su6Y49VxyV6,,
,Golden Gate Heights,4,Aerial Way/14th Ave. & Funston.,,https://photos.app.goo.gl/uq5a7fzRSDPH4TY87,,
,Golden Gate Heights,4,"Golden Gate Heights Park. Rockridge Drive near Funston and 12th Ave., into park to tennis courts.",,https://photos.app.goo.gl/CZPZoaFyzm8qxTgf6,,
,Golden Gate Heights,4,Grand View Park. 14th Ave. to top of park.,,https://photos.app.goo.gl/jJqnjdEp1kTCyBup8,,
,Golden Gate Heights,4,Grand View Park. Upper 15th Ave. to top of park.,,https://photos.app.goo.gl/X9HazHP8R9u1W9B49,,
,Golden Gate Heights,4,Mandalay Lane/No. 2001 14th Ave. & 15th Ave. & Pacheco.,,https://photos.app.goo.gl/o24C2Bqh6tQRysFE7,,
,Golden Gate Heights,4,Mount/No. 1795 14th Ave. & No. 1798 15th Ave.,,https://photos.app.goo.gl/8ReEJF22XDRxJM7o7,,
,Golden Gate Heights,4,Noriega to 15th Ave. & Sheldon Terrace.,,https://photos.app.goo.gl/pv3CnyKh6tVbPtBn7,,
,Golden Gate Heights,4,Oriole Way/Pacheco & Cragmont.,,https://photos.app.goo.gl/uyjQtPmemFxQAsQHA,,
,Golden Gate Heights,4,Ortega Way/14th Ave. & No. 1894 15th Ave.,,https://photos.app.goo.gl/Ujmhke2YFq6hBgd28,,
,Golden Gate Heights,4,Pacheco St. & 12th Ave.,,https://photos.app.goo.gl/FZ6249Ukwvf8Sprt6,,
,Golden Gate Heights,4,Pacheco/14th & 15th Ave.,,https://photos.app.goo.gl/eX5ZJHh1VymGyrPx6,,
,Golden Gate Heights,4,Quintara at No. 500/14th and 15th Aves.,,https://photos.app.goo.gl/oAH42SdfvnxFm1W4A,,
,Golden Gate Heights,3,16th Ave./Pacheco & Quintara. Multiple small stairways on east side of street.,,https://photos.app.goo.gl/E7PWAF8mvjap17CSA,,
,Golden Gate Heights,3,Aerial Way/No. 475 Ortega & No. 801 Pacheco.,,https://photos.app.goo.gl/WBnXS58eLg4vc7mL9,,
,Golden Gate Heights,3,"Golden Gate Heights Park. 12th Ave. at playground, to tennis courts.",,https://photos.app.goo.gl/nNPFYYWWDji7kMF26,,
,Golden Gate Heights,3,Grand View Park.,,https://photos.app.goo.gl/NSUtjH8yDf6uboc59,,
,Golden Gate Heights,3,Pacheco & 16th Ave.,,https://photos.app.goo.gl/T2HpQrTfJsWG7Kh37,,
,Golden Gate Heights,3,Quintara & 16th Ave.,,https://photos.app.goo.gl/iaD3hAUbtwSrEG5T6,,
,Golden Gate Heights,2,"15th Ave., near Moraga to Upper 15th.",,https://photos.app.goo.gl/93b2uRRo8vPVck3R7,,
,Golden Gate Heights,2,7th Ave./Kirkham & Lawton/Warren. Garden for the Environment.,,https://photos.app.goo.gl/MJCaPzidErJAyvQX6,,
,Golden Gate Heights,2,8th Ave./Moraga & Lawton. Few small stairways along block.,,https://photos.app.goo.gl/GV89YqGANmYVUnR9A,,
,Golden Gate Heights,2,9th Ave./Lawton & Moraga. Few small stairways along block.,,https://photos.app.goo.gl/ip2XQfbHNSKVZF7B8,,
,Golden Gate Heights,2,Aloha & Lomita.,,https://photos.app.goo.gl/dBy4H9ARMgTrE2ws9,,
,Golden Gate Heights,2,Fanning & 14th Ave. Rounding a corner.,,https://photos.app.goo.gl/jGPZbk2bh9g1tyiG7,,
,Golden Gate Heights,2,Fanning & 15th Ave.,,https://photos.app.goo.gl/goudcVygknGXavXS8,,
,Golden Gate Heights,2,Pacheco & 14th Ave.,,https://photos.app.goo.gl/aDbL1rWDkHmvppTg9,,
,Golden Gate Heights,1,"15th Ave., near Fanning & Quintara.",,https://photos.app.goo.gl/gCdDZK2M4C15h9Uz6,,
,Golden Gate Park,5,Stow Lake. Strawberry Hill/Stow Lake shore and top of waterfalls.,,https://photos.app.goo.gl/pfg5pJqPyFpsLgB8A,,
,Golden Gate Park,4,Conservatory of Flowers. To walkway and front entrance from lawn area.,,https://photos.app.goo.gl/8iHWWLa5MFbXs4z29,,
,Golden Gate Park,4,National AIDS Memorial. Circle of Peace to West Portal.,,https://photos.app.goo.gl/yizcYGKfmPLCA5GcA,,
,Golden Gate Park,4,"National AIDS Memorial. Moonwalk Stairs, just past the Hemophilia Circle.",,https://photos.app.goo.gl/21ND65eLEYJiBDzm7,,
,Golden Gate Park,4,Oak Woodlands Trail. South of Horseshoe Pits.,,https://photos.app.goo.gl/zjkZf2Lx32RFJidd7,,
,Golden Gate Park,4,Stow Lake. NW end of loop path to reservoir level.,,https://photos.app.goo.gl/a8egZWtHoYUVbRco8,,
,Golden Gate Park,4,Stow Lake. Strawberry Hill to middle-level path.,,https://photos.app.goo.gl/QqcMWnPNH6o4YAxAA,,
,Golden Gate Park,3,"Anglers Lodge, off JFK Drive, opposite buffalo paddock.",,https://photos.app.goo.gl/dGYXwsd1UE9W7RyaA,,
,Golden Gate Park,3,Botanical Garden Succulent Garden.,,https://photos.app.goo.gl/BKVVyGHmZ1B7VYpX9,,
,Golden Gate Park,3,Botanical Garden. Between Mesoamerican and South African Walk.,,https://photos.app.goo.gl/eLbQCtG6aSM2AuFT9,,
,Golden Gate Park,3,Botanical Garden. Between Mesoamerican Cloud Forest and California Native Garden.,,https://photos.app.goo.gl/eja2TZMzbsqB4C2m6,,
,Golden Gate Park,3,Botanical Garden. Between Moon Viewing Garden & Garden of Perennials.,,https://photos.app.goo.gl/LEayLUs1UnDYfXQMA,,
,Golden Gate Park,3,Botanical Garden. Hill between fountain and Rhododendron Garden. North side.,,https://photos.app.goo.gl/H8AyiSP7FynpKYjXA,,
,Golden Gate Park,3,Botanical Garden. Hill between fountain and Rhododendron Garden. South side. ,,https://photos.app.goo.gl/MpcUEnk52xeHDVXe7,,
,Golden Gate Park,3,Botanical Garden. In Southeast Asian Cloud Forest.,,https://photos.app.goo.gl/6sV12LHPNqRYRLwC6,,
,Golden Gate Park,3,"Conservatory of Flowers. Right side, east to Dahlia Gardens. Two stairways.",,https://photos.app.goo.gl/4Jyz4jpeAMWGGkj47,,
,Golden Gate Park,3,DeYoung Museum near observation tower.,,https://photos.app.goo.gl/tHAcLiRNizMcLj2M8,,
,Golden Gate Park,3,Fulton & 4th Ave. Wood stairway leading into Golden Gate Park.,,https://photos.app.goo.gl/nPzWjDNRXkCPhP8h7,,
,Golden Gate Park,3,"JFK Drive north side, down to North Lake.",,https://photos.app.goo.gl/BFWZG1i59SuhtHtt9,,
,Golden Gate Park,3,JFK Drive: Intersection of Bernice Rogers Way & JFK Drive.,,https://photos.app.goo.gl/as4tzqXyG6Mmn9Yp9,,
,Golden Gate Park,3,Koret Children's Playground to Kezar Dr.,,https://photos.app.goo.gl/Ko8t95B4EbGeN9oKA,,
,Golden Gate Park,3,Koret Children's Quarter. North of carousel. Mosaic!,,https://photos.app.goo.gl/1AAfHEFPZBJtAJhV7,,
,Golden Gate Park,3,Leading to Horseshoe Pits near Conservatory Drive East & Arguello.,,https://photos.app.goo.gl/JUwe5A4eNC6roPEH9,,
,Golden Gate Park,3,Music Concourse. Multiple stairways off Music Concourse Drive and Hagiwara Tea Garden Drive.,,https://photos.app.goo.gl/DYJEQ9rWBhaRat5i8,,
,Golden Gate Park,3,National AIDS Memorial. Circle of Peace through fern grotto.,,https://photos.app.goo.gl/JG6SJpnzooH66fdx6,,
,Golden Gate Park,3,National AIDS Memorial. Stairs to a circle to the NW of the Circle of Friends.,,https://photos.app.goo.gl/12EhfHD9v67KWiUA9,,
,Golden Gate Park,3,Oak Woodlands. Close to Fulton between 2nd and 3rd Aves.,,https://photos.app.goo.gl/qSfWfj7iDWa1b6ru7,,
,Golden Gate Park,3,"Robin Williams Meadow Picnic Area near Martin Luther King Jr. Dr., into Koret Children's Playground.",,https://photos.app.goo.gl/W8tAf8nJze2SW7Ug9,,
,Golden Gate Park,3,South of Rhododendron Dell,,https://photos.app.goo.gl/k8RxeaAHSRnZ4LDD7,,
,Golden Gate Park,3,Stow Lake Summit west side.,,https://photos.app.goo.gl/GKkNFADUznsaM5R57,,
,Golden Gate Park,3,Stow Lake: Huntington Falls to reservoir.,,https://photos.app.goo.gl/5mRRXQTmZohH8BVD7,,
,Golden Gate Park,3,Stow Lake. Heading uphill from just south of Chinese Pavilion.,,https://photos.app.goo.gl/BdrqnWUkhDQJ4vcT7,,
,Golden Gate Park,3,Stow Lake. Just north of Huntington Falls. Stopping and then continuing to reservoir level.,,https://photos.app.goo.gl/d4JaUwVR79GoV49j6,,
,Golden Gate Park,3,Stow Lake. Just south of Huntington Falls.,,https://photos.app.goo.gl/d2B5Bdk5J6chcBGAA,,
,Golden Gate Park,3,Stow Lake. Path between boathouse and JFK Drive.,,https://photos.app.goo.gl/fVB2CicAZekcV9WS7,,
,Golden Gate Park,3,Trail connecting Stow Lake Drive East and Pioneer East Meadow.,,https://photos.app.goo.gl/Yrgbp1EG8tzeNJeu7,,
,Golden Gate Park,2,Botanical Garden. Garden of Fragrance.,,https://photos.app.goo.gl/EZiLvcNcyouEQyy88,,
,Golden Gate Park,2,Bowling Green Drive. Street to tennis courts.,,https://photos.app.goo.gl/EZiLvcNcyouEQyy88,,
,Golden Gate Park,2,Disc Golf Course near 25th Avenue. Few stairways.,,https://photos.app.goo.gl/CuANoY85BSZfHxAi9,,
,Golden Gate Park,2,Disc Golf Course near 28th Ave/Fulton & JFK Dr.,,https://photos.app.goo.gl/jahQRA77CaPgiaWG7,,
,Golden Gate Park,2,Disc Golf Course near 29th & 30 Ave./Fulton & JFK Dr.,,https://photos.app.goo.gl/tfaWwLbTAZtCN2yE6,,
,Golden Gate Park,2,Fulton at 10th Ave. into playground.,,https://photos.app.goo.gl/KXDnyyPd8mKe52d97,,
,Golden Gate Park,2,In Horseshoe Pits near Conservatory Drive East & Arguello. Number of stairways around stone wall.,,https://photos.app.goo.gl/rAYEx4LPBMWZj3Y78,,
,Golden Gate Park,2,Japanese Tea Garden/Back of garden & east side of Stow Lake.,,https://photos.app.goo.gl/UGaGnqTCWAvVBfjY8,,
,Golden Gate Park,2,JFK Drive. Near Dutch Windmill and down into Queen Wilhelmina Tulip Garden.,,https://photos.app.goo.gl/9HnqFG51SBJcszVt8,,
,Golden Gate Park,2,JFK Drive. Tunnel from Conservatory of Flowers across the street.,,https://photos.app.goo.gl/zCoYmwNax7D7QYQ5A,,
,Golden Gate Park,2,"Kezar Stadium, number of stairways around stadium.",,https://photos.app.goo.gl/jDKg42BUBQVLXAPF7,,
,Golden Gate Park,2,"Lincoln Way and 19th Ave. Under arch, into park.",,https://photos.app.goo.gl/LuxxnkSwPMpyYqFVA,,
,Golden Gate Park,2,"Lincoln Way at 7th Ave., into Golden Gate Park.",,https://photos.app.goo.gl/53CVcAGfFLYYX9j4A,,
,Golden Gate Park,2,Martin Luther King Drive and 7th Avenue. Leading down to baseball field.,,https://photos.app.goo.gl/aoSkjRiqNQrEfxHk8,,
,Golden Gate Park,2,Martin Luther King Drive between Botanical Garden and Stow Lake Drive E. Up to Stow Lake Drive E.,,https://photos.app.goo.gl/mNME4mNAbbNQiutW6,,
,Golden Gate Park,2,Martin Luther King Drive. Between Millwright Cottage and Murphy Windmill.,,https://photos.app.goo.gl/2GuaZUrc5bxGt9Bs8,,
,Golden Gate Park,2,Martin Luther King Drive. Murphy Windmill & Lincoln Way.,,https://photos.app.goo.gl/yo8wNkFL48RNzgieA,,
,Golden Gate Park,2,Martin Luther King Drive. West at 19th Ave.,,https://photos.app.goo.gl/JB1ABnr9qqWepGmk9,,
,Golden Gate Park,2,Mother's Meadow Playground to Stow Lake.,,https://photos.app.goo.gl/K3bKcMZN3GmmvUqU9,,
,Golden Gate Park,2,National AIDS Memorial. Crossroads Circle. Two small sets of steps.,,https://photos.app.goo.gl/39XjizJqEqYiPDXb9,,
,Golden Gate Park,2,National AIDS Memorial. Few wood steps.,,https://photos.app.goo.gl/KprsNH7dq8j9qCpy8,,
,Golden Gate Park,2,National AIDS Memorial. Two stairways into redwood grove.,,https://photos.app.goo.gl/aCzePXSFYmtkXbi97,,
,Golden Gate Park,2,Oak Woodlands Trail. Near Arguello and Conservatory Dr. East.,,https://photos.app.goo.gl/WUD7rzjBRdbmpNtw8,,
,Golden Gate Park,2,Oak Woodlands Trail. Up from Fulton and Stanyan.,,https://photos.app.goo.gl/SH6ZLDXb3sGwqFAG6,,
,Golden Gate Park,2,Off JFK Drive and West of Dutch Windmill.,,https://photos.app.goo.gl/pyWQKLoAuVnMHAHj6,,
,Golden Gate Park,2,"Path between Fulton at 6th Ave. and JFK Drive, next to roller skating area.",,https://photos.app.goo.gl/QqiS7YKiXRHv13pY9,,
,Golden Gate Park,2,Path between JFK Drive and Crossover Drive. Just west of Prayerbrook Cross.,,https://photos.app.goo.gl/kSPywkKYB5YfWX7a7,,
,Golden Gate Park,2,Prayerbook Cross. Heading down from east side.,,https://photos.app.goo.gl/bg7YJM2oTEvYz23n6,,
,Golden Gate Park,2,Stow Lake Drive up to paved path. Just west of crosswalk at SW corner of lake.,,https://photos.app.goo.gl/WNFRggPJugya8gfB7,,
,Golden Gate Park,2,Stow Lake South Side/South Bridge & Chinese Pavilion.,,https://photos.app.goo.gl/Wuytb7wnUxq23UmS6,,
,Golden Gate Park,2,Stow Lake. Few steps up to Chinese Pavilion.,,https://photos.app.goo.gl/ny8RwzUdP1Btn2ff9,,
,Golden Gate Park,2,Stow Lake. Intermittent stairs leading to Huntington Falls.,,https://photos.app.goo.gl/Q1fM2i3UyCiJtfmz7,,
,Golden Gate Park,2,Stow Lake. To Strawberry Hill/Chinese Pavilion & Falls Stairway. (Just south of falls.),,https://photos.app.goo.gl/d2B5Bdk5J6chcBGAA,,
,Golden Gate Park,2,Stow Lake. Up to Strawberry Hill from reservoir.,,https://photos.app.goo.gl/rM2y1rv9XNjfmezi7,,
,Golden Gate Park,1,Fulton near 5th Avenue. From paved path up to dirt path.,,https://photos.app.goo.gl/WS6DMEmSGbYs6Nvq7,,
,Golden Gate Park,1,JFK Drive: Up to restrooms past buffalo paddock.,,https://photos.app.goo.gl/sSeSNgN7e6q5Wg8c7,,
,Golden Gate Park,1,SF Lawn Bowling Club,,https://photos.app.goo.gl/LQ3Dc96fbSC6YrWKA,,
,Golden Gate Park,1,Stow Lake. Directly across from Chinese Pavilion. Barely there.,,https://photos.app.goo.gl/uMpTYAV6UYKt3hiKA,,
,Haight-Ashbury,5,"Frederick & Carl/Arguello & Willard, opposite Kezar Stadium. Parkview Commons.",,https://photos.app.goo.gl/ba9fSQWF5umho7LH9,,
,Haight-Ashbury,2,Clayton/Frederick & Carl.,,https://photos.app.goo.gl/HDD3vWxeb9pxEzSS6,,
,Haight-Ashbury,2,Frederick at Willard. Down into Kezar Stadium.,,https://photos.app.goo.gl/PTwFP1jjSWBCqzuA6,,
,Hayes Valley,3,"Koshland Park. Page at Buchanan, into park. Seven small stairways on path through park.",,https://photos.app.goo.gl/AY84WkSkK4pFRiW26,,
,Ingleside Terrace,5,"Sisterhood Gardens ""Together We Bloom"" tiled steps. South end of Ramsell Street.",,https://photos.app.goo.gl/6mUPwKRBob1r2ZQv7,,
,Ingleside Terrace,4,Ridge Lane/Caine Ave. & San Miguel St. Photo by Karen Rhodes.,,https://photos.app.goo.gl/j6YTjpH8QwNiPnrZ6,,
,Ingleside Terrace,4,Unity Plaza. Ocean & City College Terminal. Mosaic!,,https://photos.app.goo.gl/EFuLoY4PVy1oP3xv7,,
,Ingleside Terrace,3,End of San Leandro/Moncada & Ocean.,,https://photos.app.goo.gl/axLm6abjhMRi73gn8,,
,Ingleside Terrace,2,"2235 Ocean Ave., stairs up to Aptos Park.",,https://photos.app.goo.gl/QnM4fFdWAYxaJs47A,,
,Ingleside Terrace,2,"Alemany & Head St., near Palmetto.",,https://photos.app.goo.gl/2Vd2gjKMbQ6eefZN6,,
,Ingleside Terrace,2,"Alemany, opposite Victoria.",,https://photos.app.goo.gl/e1WnuWWmBagYR9Zy7,,
,Ingleside Terrace,2,De Long/Flournoy Street & Goethe Street,,https://photos.app.goo.gl/w7XNTttEfriaJQ4LA,,
,Ingleside Terrace,2,Shakespeare and Bepler.,,https://photos.app.goo.gl/ox621DLwmseoTsCM9,,
,Ingleside Terrace,2,Shakespeare/Shakespeare & De Long.,,"https://photos.app.goo.gl/Y2DFHBhDyf3zyPGPA
Photo by David Gallagher.",,
,Ingleside Terrace,2,Wilson Street/De Long St. & Rhine St.Many stairways along block,,https://photos.app.goo.gl/yeiSpM9z5TUaayVG8,,
,Ingleside Terrace,2,"Worcester, near Alemany. Down to shopping center.",,https://photos.app.goo.gl/FXdVxBNHLFFojht9A,,
,Ingleside Terrace,2,Wyton Lane/19th Ave. & Denslowe Dr.,,https://photos.app.goo.gl/onzJZmWMamv2PtLS8,,
,Ingleside Terrace,2,Wyton Lane/Stratford Dr. & Junipero Serra Blvd.,,https://photos.app.goo.gl/NFUe9bHaRsgXsdHBA,,
,Ingleside Terrace,1,Unity Plaza. East side.,,https://photos.app.goo.gl/c19YjiysMT3FrA6MA,,
